"date","status","latitude","longitude","wind"
"200506081800","TD","16.9","84","25"
"200506090000","TD","17.4","83.9","30"
"200506090600","TS","18.2","83.9","35"
"200506091200","TS","19","84","35"
"200506091800","TS","19.7","84.1","35"
"200506100000","TS","20.4","84.2","40"
"200506100600","TS","21.2","84.4","45"
"200506100800","TS","21.8","84.5","45"
"200506101200","TS","23","84.7","50"
"200506101800","TS","24.9","85.1","55"
"200506110000","TS","26.5","85.6","60"
"200506110100","TS","26.5","85.6","60"
"200506110600","TS","27.7","86.8","60"
"200506111200","TS","28.9","87.2","55"
"200506111800","TS","30.1","87.5","50"
"200506111900","TS","30.3","87.5","50"
"200506120000","TD","31.4","87.6","30"
"200506120600","TD","32.7","87.7","25"
"200506121200","TD","35","88","20"
"200506121800","TD","37","87.8","20"
"200506130000","TD","38.5","87.5","20"
"200506130600","TD","40.5","86","20"
"200506131200","LO","42","85","20"
"200506131800","EX","43","84","20"
"200506140000","EX","43.7","81.1","20"
"200506140600","EX","44.8","77.6","20"
