"date","status","latitude","longitude","wind"
"200510261800","TD","10.4","80.9","30"
"200510270000","TD","10.7","81.1","30"
"200510270600","TS","11","81.3","35"
"200510271200","TS","11.3","81.3","45"
"200510271800","TS","11.6","81.3","50"
"200510280000","TS","11.9","81.2","50"
"200510280600","TS","12.3","81.1","50"
"200510281200","TS","12.8","81","50"
"200510281800","TS","13.2","81.1","50"
"200510290000","TS","13.4","81.2","60"
"200510290600","HU","13.6","81.4","70"
"200510291200","HU","13.7","81.6","75"
"200510291800","HU","13.7","82.1","75"
"200510300000","HU","13.6","82.6","90"
"200510300600","HU","13.3","83.1","100"
"200510301200","HU","12.9","83.5","90"
"200510301800","TS","12.7","84.1","55"
"200510310000","TD","12.7","84.9","20"
