"date","status","latitude","longitude","wind"
"200511191200","EX","27","48","25"
"200511191800","EX","26.7","47.5","25"
"200511200000","EX","26.7","46.7","25"
"200511200600","EX","27.2","45.9","25"
"200511201200","EX","27.7","44.8","30"
"200511201800","EX","28","43.5","35"
"200511210000","EX","28.3","42.2","35"
"200511210600","EX","29","41.1","35"
"200511211200","EX","29.9","40.1","35"
"200511211800","EX","30.9","39.6","40"
"200511220000","EX","31.5","40.1","40"
"200511220600","EX","31.4","39.9","45"
"200511221200","EX","31.2","39.8","45"
"200511221800","SS","30.7","40.5","45"
"200511230000","SS","29.9","40.9","45"
"200511230600","SS","28.8","41.3","45"
"200511231200","TS","27.4","41.2","50"
"200511231800","TS","26.4","40.8","50"
"200511240000","TS","25.5","40.2","55"
"200511240600","TS","25","39.6","55"
"200511241200","TS","24.8","39","60"
"200511241800","TS","24.6","38.9","60"
"200511250000","TS","24.1","39","60"
"200511250600","TS","23.8","39.3","55"
"200511251200","TS","23.3","39.6","55"
"200511251800","TS","22.8","39.8","50"
"200511260000","TS","22.3","39.8","45"
"200511260600","TS","21.8","39.4","40"
"200511261200","TS","22","38.4","35"
"200511261800","TS","22.6","37.3","35"
"200511270000","TS","23.5","35.8","35"
"200511270600","TS","24.8","34","45"
"200511271200","TS","26.7","31.9","60"
"200511271800","TS","28.3","29.9","60"
"200511280000","TS","29.1","27.5","60"
"200511280600","TS","29.9","24.8","60"
"200511281200","EX","30.2","21.6","60"
"200511281800","EX","30.2","18.2","60"
"200511290000","EX","30.2","14.6","55"
"200511290600","EX","30.7","10.9","50"
"200511291200","EX","32.6","6.6","35"
"200511291800","EX","35.3","1","30"
