"date","status","latitude","longitude","wind"
"200507041800","TD","12","60.8","25"
"200507042100","TD","12.1","61.6","30"
"200507050000","TD","12.2","62.5","30"
"200507050600","TD","12.5","64.2","30"
"200507051200","TS","13","65.9","35"
"200507051800","TS","13.6","67.3","40"
"200507060000","TS","14.3","68.5","45"
"200507060600","TS","14.7","69.7","50"
"200507061200","TS","15.1","70.9","55"
"200507061800","TS","15.6","71.9","60"
"200507070000","HU","16.2","73","70"
"200507070600","HU","16.7","74.1","80"
"200507071200","HU","17.6","74.9","90"
"200507071800","HU","18.5","76.1","100"
"200507080000","HU","19.4","77.1","120"
"200507080245","HU","19.9","77.6","120"
"200507080600","HU","20.3","78.4","110"
"200507081200","HU","20.9","79.5","130"
"200507081800","HU","22","80.6","120"
"200507081845","HU","22.1","80.7","120"
"200507090000","HU","22.7","81.6","100"
"200507090600","HU","23.4","82.5","75"
"200507091200","HU","24.3","83.4","80"
"200507091800","HU","25.2","84.2","90"
"200507100000","HU","26.1","85","110"
"200507100600","HU","27.2","85.8","125"
"200507101200","HU","28.5","86.3","120"
"200507101800","HU","29.9","86.9","110"
"200507101930","HU","30.4","87.1","105"
"200507110000","TS","31.5","87.7","45"
"200507110600","TD","32.6","88.5","30"
"200507111200","TD","33.9","88.8","25"
"200507111800","TD","35.3","89.1","20"
"200507120000","TD","36.4","89.2","20"
"200507120600","TD","37.1","89","15"
"200507121200","TD","37.7","88.7","15"
"200507121800","TD","38.1","88.3","15"
"200507130000","TD","38.5","87.8","15"
"200507130600","TD","38.9","87.2","15"
"200507131200","LO","39.2","86.5","15"
"200507131800","LO","39.2","85.8","15"
"200507140000","LO","39.2","85.7","10"
"200507140600","LO","39","85.6","10"
"200507141200","LO","38.7","85.6","10"
"200507141800","LO","38.4","85.6","10"
"200507150000","LO","38.1","85.8","10"
"200507150600","LO","37.9","86.2","10"
"200507151200","LO","38.1","86.4","10"
"200507151800","LO","38.4","86.6","10"
"200507160000","LO","38.6","86.8","10"
"200507160600","LO","39.4","86.5","10"
"200507161200","LO","40.2","86.2","10"
"200507161800","LO","40.8","85.2","10"
"200507170000","LO","41.3","84.1","10"
"200507170600","LO","42.2","83.2","10"
"200507171200","LO","43.1","82.3","10"
"200507171800","LO","43.9","81.4","10"
"200507180000","LO","44.6","80.5","10"
"200507180600","LO","45.8","79.8","10"
