"date","status","latitude","longitude","wind"
"200507110000","TD","10.7","42.4","25"
"200507110600","TD","10.8","43.4","30"
"200507111200","TD","10.9","44.4","30"
"200507111800","TD","11","45.4","30"
"200507120000","TS","11","46.8","35"
"200507120600","TS","11","48.5","40"
"200507121200","TS","11","50.2","45"
"200507121800","TS","11","52","45"
"200507130000","TS","11","53.7","45"
"200507130600","TS","11.1","55.4","45"
"200507131200","TS","11.2","57.2","50"
"200507131800","TS","11.4","58.9","55"
"200507140000","HU","11.6","60.2","70"
"200507140600","HU","11.9","61.5","75"
"200507140700","HU","12","61.8","75"
"200507141200","HU","12.4","63.2","85"
"200507141800","HU","12.9","64.9","100"
"200507150000","HU","13.3","66.7","110"
"200507150600","HU","13.7","68.4","115"
"200507151200","HU","14.1","70.1","115"
"200507151800","HU","14.5","71.8","95"
"200507160000","HU","14.9","73.4","110"
"200507160600","HU","15.4","75","120"
"200507161200","HU","15.9","76.5","130"
"200507161800","HU","16.4","78","135"
"200507170000","HU","17.1","79.5","140"
"200507170600","HU","17.7","81.2","135"
"200507171200","HU","18.3","82.8","130"
"200507171800","HU","18.9","84.3","125"
"200507180000","HU","19.5","85.8","120"
"200507180600","HU","20.3","87.3","115"
"200507180630","HU","20.3","87.4","115"
"200507181200","HU","21.3","88.9","65"
"200507181800","HU","22","90.3","65"
"200507190000","HU","22.6","91.5","75"
"200507190600","HU","23.2","92.8","80"
"200507191200","HU","23.7","94","80"
"200507191800","HU","24.1","95.1","85"
"200507200000","HU","24.4","96.1","110"
"200507200600","HU","24.6","96.9","110"
"200507201200","HU","24.8","97.6","110"
"200507201800","TS","25","98.7","70"
"200507210000","TS","25","99.7","45"
"200507210600","TD","25","100.5","30"
"200507211200","TD","25","101.1","25"
