"date","status","latitude","longitude","wind"
"200511290600","TS","31.5","49.2","45"
"200511291200","TS","31.6","50","45"
"200511291800","TS","31.4","50.8","45"
"200511300000","TS","31.4","51.5","45"
"200511300600","TS","31.1","52.5","50"
"200511301200","TS","30.8","53.5","55"
"200511301800","TS","30.1","54.2","50"
"200512010000","TS","29.7","53.8","50"
"200512010600","TS","30","52.7","50"
"200512011200","TS","30.8","51.9","50"
"200512011800","TS","31.4","51.3","55"
"200512020000","TS","31.9","50.6","55"
"200512020600","TS","32.5","49.8","55"
"200512021200","TS","33.2","48.9","60"
"200512021800","HU","33.9","47.9","65"
"200512030000","HU","34.3","47.1","65"
"200512030600","HU","34.5","46.2","65"
"200512031200","HU","34.5","45","65"
"200512031800","HU","34.5","43.7","65"
"200512040000","HU","34.3","42.3","65"
"200512040600","HU","34.4","41.1","65"
"200512041200","HU","34.3","39.8","70"
"200512041800","HU","34.3","38.8","70"
"200512050000","HU","34.2","37.8","70"
"200512050600","HU","34","36.7","75"
"200512051200","HU","33.8","35.5","75"
"200512051800","HU","33.7","34.6","70"
"200512060000","HU","33.4","33.8","65"
"200512060600","HU","33.1","33.7","65"
"200512061200","HU","32.3","33.7","65"
"200512061800","HU","31.6","34.2","65"
"200512070000","HU","30.8","34.9","65"
"200512070600","HU","30.1","36","65"
"200512071200","HU","29.4","37.1","65"
"200512071800","TS","28.7","38.1","60"
"200512080000","TS","28.2","38.8","50"
"200512080600","TS","27.4","39.3","35"
"200512081200","TD","26.5","40","30"
"200512081800","LO","25.9","40.5","30"
"200512090000","LO","25.5","40.6","30"
"200512090600","LO","25.1","40.4","25"
"200512091200","LO","24.7","40.1","25"
"200512091800","LO","24.7","39.2","25"
