"date","status","latitude","longitude","wind"
"200507211800","TD","25","75","30"
"200507220000","TS","25.7","75.9","40"
"200507220600","TS","26.2","76.4","40"
"200507221200","TS","26.6","76.8","45"
"200507221800","TS","27.4","76.7","45"
"200507230000","TS","28.1","76.6","45"
"200507230600","TS","28.7","76.1","50"
"200507231200","TS","29.2","75.4","60"
"200507231800","TS","29.7","74.7","60"
"200507240000","TS","30.1","73.5","55"
"200507240600","TS","30.3","72.6","55"
"200507241200","TS","30.7","71.9","45"
"200507241800","TS","31.1","71.2","45"
"200507250000","TS","31.1","71.2","40"
"200507250600","TS","31","70.5","40"
"200507251200","TS","30.9","69.8","40"
"200507251800","TS","30.9","69.6","40"
"200507260000","TS","30.9","68.6","35"
"200507260600","TS","31.2","68.2","35"
"200507261200","TS","31.7","68.1","35"
"200507261800","TS","32.2","68.3","35"
"200507270000","TS","32.4","68.5","40"
"200507270600","TS","32.8","68.8","40"
"200507271200","TS","33.2","69.1","45"
"200507271800","TS","33.6","69.3","45"
"200507280000","TS","34.2","69.4","50"
"200507280600","TS","35","69.3","50"
"200507281200","TS","36","69.1","45"
"200507281800","TS","37.1","68","50"
"200507290000","TS","38.4","66.6","50"
"200507290600","TS","39.6","64.8","50"
"200507291200","TS","40.8","62.8","50"
"200507291800","TS","42.2","60.2","50"
"200507300000","EX","43.5","57.5","50"
"200507300600","EX","44.7","54.6","45"
"200507301200","EX","45.8","51.7","40"
"200507301800","EX","46.4","48.8","40"
"200507310000","EX","47.5","46","40"
