"date","status","latitude","longitude","wind"
"200511140000","TD","13.2","62.1","30"
"200511140600","TD","13.6","62.8","30"
"200511141200","TD","13.8","63.4","30"
"200511141800","TD","14.1","64.2","30"
"200511150000","TD","14.2","65","30"
"200511150600","TS","14.3","66","35"
"200511151200","TS","14.4","67.1","35"
"200511151800","TD","14.7","68.4","30"
"200511160000","TD","14.8","69.9","30"
"200511160600","TD","14.8","71.5","30"
"200511161200","TD","14.7","73.1","25"
"200511161800","WV","14.8","75.4","25"
"200511170000","WV","15","77.6","25"
"200511170600","WV","15.3","79.7","25"
"200511171200","WV","15.6","81.7","30"
"200511171800","WV","15.8","83.1","30"
"200511180000","WV","15.8","84.1","30"
"200511180600","WV","15.7","84.8","30"
"200511181200","WV","15.5","85.5","30"
"200511181800","TS","15.7","85.6","35"
"200511190000","TS","16","85.6","40"
"200511190600","TS","16.1","85.6","40"
"200511191200","TS","16.1","85.4","45"
"200511191800","TS","16.2","85.2","40"
"200511200000","TS","16.4","85","40"
"200511200600","TS","16.6","85","35"
"200511201200","TD","16.7","85.2","30"
"200511201800","TD","16.9","85.5","30"
"200511210000","TD","17.1","85.5","25"
"200511210600","LO","17","85.2","25"
"200511211200","LO","16.7","84.8","25"
"200511211800","LO","16.4","84.3","25"
"200511220000","LO","15.4","83.5","25"
