"date","status","latitude","longitude","wind"
"200508021800","TD","28.2","68.8","30"
"200508030000","TD","28.9","68.7","30"
"200508030600","TS","29.5","68.6","40"
"200508031200","TS","30.3","68.3","45"
"200508031800","TS","30.9","67.7","50"
"200508040000","TS","31.3","66.4","50"
"200508040600","TS","31.6","65","50"
"200508041200","TS","31.9","63.6","50"
"200508041800","TS","32","62.1","55"
"200508050000","TS","32.1","60.5","55"
"200508050600","TS","32.4","59.4","55"
"200508051200","TS","32.5","58.5","50"
"200508051800","TS","32.5","57.7","45"
"200508060000","TS","32.6","57.1","45"
"200508060600","TS","33","56.8","50"
"200508061200","TS","33.5","56.7","50"
"200508061800","TS","33.5","56.7","50"
"200508070000","TS","34.1","55.5","50"
"200508070600","TS","35.1","54.9","50"
"200508071200","TS","36","54","45"
"200508071800","TS","36.8","52.9","45"
"200508080000","TS","37.6","51.9","45"
"200508080600","TS","38.6","50.7","45"
"200508081200","TS","39.6","48.6","45"
"200508081800","TS","40.4","46.9","45"
"200508090000","EX","41.2","45","45"
"200508090600","EX","41.8","43","50"
"200508091200","EX","42.3","41.1","50"
"200508091800","EX","43","39","50"
"200508100000","EX","44","37.1","50"
"200508100600","EX","44.5","35.2","50"
"200508101200","EX","44.5","34.1","50"
"200508101800","EX","44.4","33.1","50"
"200508110000","EX","44.2","32.2","45"
"200508110600","EX","43.9","31.5","40"
"200508111200","EX","43.5","31","35"
"200508111800","EX","43.3","30.7","30"
"200508120000","EX","43","30.5","30"
"200508120600","EX","42.5","30.8","30"
"200508121200","EX","42","31.4","30"
"200508121800","LO","41.3","31.5","25"
"200508130000","LO","40.7","31.5","25"
"200508130600","LO","40.5","31.5","25"
"200508131200","LO","40.5","31.5","25"
"200508131800","LO","41.2","32","25"
"200508140000","LO","42","32.5","25"
