"date","status","latitude","longitude","wind"
"200508041800","TD","12.9","33.5","25"
"200508050000","TD","13.6","34.5","25"
"200508050600","TD","14.6","35.5","25"
"200508051200","TD","15.6","36.8","30"
"200508051800","TD","16.6","38.4","30"
"200508060000","TD","17.2","39.8","30"
"200508060600","TD","17.7","40.5","30"
"200508061200","TD","18.2","41.6","30"
"200508061800","TD","18.8","42.8","30"
"200508070000","TD","19.3","43.5","30"
"200508070600","TD","19.7","44.2","30"
"200508071200","TS","20.2","45","35"
"200508071800","TS","20.8","46","35"
"200508080000","TS","21.3","47.2","35"
"200508080600","TS","21.8","48.3","35"
"200508081200","TD","22.2","49.9","30"
"200508081800","TD","22.4","50.9","30"
"200508090000","TD","22.5","52","30"
"200508090600","TD","22.4","52.9","30"
"200508091200","TD","22.4","53.7","30"
"200508091800","TD","22.4","54.8","30"
"200508100000","TD","22.4","55.7","30"
"200508100600","TD","22.3","56.5","30"
"200508101200","TD","22.4","57.2","30"
"200508101800","TD","22.8","58.1","30"
"200508110000","TS","23.3","59.3","35"
"200508110600","TS","23.9","60.4","40"
"200508111200","TS","24.7","61.7","45"
"200508111800","TS","25.4","62.9","45"
"200508120000","TS","26.3","63.8","45"
"200508120600","TS","27.2","65.1","55"
"200508121200","TS","27.9","66.3","55"
"200508121800","TS","28.4","67.1","55"
"200508130000","TS","28.9","67.7","60"
"200508130600","TS","29.6","68.2","60"
"200508131200","TS","30","69","60"
"200508131800","TS","30.8","69.4","60"
"200508140000","TS","31.6","69.9","60"
"200508140600","TS","32.1","70.2","55"
"200508141200","TS","33.1","70.1","55"
"200508141800","TS","34","70","60"
"200508150000","HU","34.9","69.5","70"
"200508150600","HU","35.7","68.7","75"
"200508151200","HU","36.3","67.7","75"
"200508151800","HU","36.5","66.5","80"
"200508160000","HU","36.6","65.1","80"
"200508160600","HU","36.6","64","80"
"200508161200","HU","36.6","63","85"
"200508161800","HU","36.5","62","90"
"200508170000","HU","36.5","61.3","80"
"200508170600","HU","36.5","60.6","75"
"200508171200","HU","36.9","59.1","65"
"200508171800","HU","37.6","57.3","65"
"200508180000","TS","38.6","55","60"
"200508180600","TS","40.3","52.3","60"
"200508181200","TS","43.3","48.9","50"
