"date","status","latitude","longitude","wind"
"200508231800","TD","23.1","75.1","30"
"200508240000","TD","23.4","75.7","30"
"200508240600","TD","23.8","76.2","30"
"200508241200","TS","24.5","76.5","35"
"200508241800","TS","25.4","76.9","40"
"200508250000","TS","26","77.7","45"
"200508250600","TS","26.1","78.4","50"
"200508251200","TS","26.2","79","55"
"200508251800","TS","26.2","79.6","60"
"200508252230","HU","26","80.1","70"
"200508260000","HU","25.9","80.3","70"
"200508260600","HU","25.4","81.3","65"
"200508261200","HU","25.1","82","75"
"200508261800","HU","24.9","82.6","85"
"200508270000","HU","24.6","83.3","90"
"200508270600","HU","24.4","84","95"
"200508271200","HU","24.4","84.7","100"
"200508271800","HU","24.5","85.3","100"
"200508280000","HU","24.8","85.9","100"
"200508280600","HU","25.2","86.7","125"
"200508281200","HU","25.7","87.7","145"
"200508281800","HU","26.3","88.6","150"
"200508290000","HU","27.2","89.2","140"
"200508290600","HU","28.2","89.6","125"
"200508291110","HU","29.3","89.6","110"
"200508291200","HU","29.5","89.6","110"
"200508291445","HU","30.2","89.6","105"
"200508291800","HU","31.1","89.6","80"
"200508300000","TS","32.6","89.1","50"
"200508300600","TS","34.1","88.6","40"
"200508301200","TD","35.6","88","30"
"200508301800","TD","37","87","30"
"200508310000","EX","38.6","85.3","30"
"200508310600","EX","40.1","82.9","25"
