"date","status","latitude","longitude","wind"
"200508281200","TD","14","45.1","25"
"200508281800","TD","14.9","46.4","25"
"200508290000","TD","15.7","47.6","25"
"200508290600","TD","17","48.9","25"
"200508291200","TD","17.7","50.6","25"
"200508291800","LO","18.5","52.5","20"
"200508300000","LO","20.5","53.2","20"
"200508300600","LO","22.1","53.6","20"
"200508301200","LO","24.2","54.2","20"
"200508301800","LO","25.5","53.6","25"
"200508310000","LO","26.9","52.7","25"
"200508310600","TD","28","51.6","30"
"200508311200","TS","29","50.4","35"
"200508311800","TS","30.1","50.1","35"
"200509010000","TD","31.1","50.3","30"
"200509010600","TD","31.9","51.2","30"
"200509011200","TD","31.9","51.4","30"
"200509011800","TD","32.3","51.5","30"
"200509020000","TD","32.4","52","25"
"200509020600","LO","32.6","52.3","25"
"200509021200","LO","33.2","52.3","25"
"200509021800","LO","33.9","52.7","25"
"200509030000","LO","34.7","53.2","25"
"200509030600","LO","35.5","53.9","25"
"200509031200","LO","36.6","54.2","25"
"200509031800","LO","37.4","53.9","25"
