"date","status","latitude","longitude","wind"
"200509011200","TD","18.8","45.5","30"
"200509011800","TD","19.3","46.2","30"
"200509020000","TD","19.9","47.2","30"
"200509020600","TD","20.5","48.3","30"
"200509021200","TS","21.1","49.4","35"
"200509021800","TS","21.5","50.2","40"
"200509030000","TS","22","51","45"
"200509030600","TS","23","52","45"
"200509031200","TS","24.4","53.1","50"
"200509031800","TS","25.5","54","55"
"200509040000","TS","26.5","54.6","60"
"200509040600","HU","27.5","55.1","65"
"200509041200","HU","28.6","55.5","65"
"200509041800","HU","29.6","56","75"
"200509050000","HU","30.2","56.5","75"
"200509050600","HU","30.9","56.8","80"
"200509051200","HU","31.5","56.8","85"
"200509051800","HU","32.1","56.7","90"
"200509060000","HU","32.6","56.6","100"
"200509060600","HU","33","56.5","90"
"200509061200","HU","33.5","56","80"
"200509061800","HU","33.9","55.4","75"
"200509070000","HU","34.4","54.6","65"
"200509070600","HU","34.8","53.3","70"
"200509071200","HU","35.6","51.8","75"
"200509071800","HU","36.5","50.8","75"
"200509080000","HU","37.2","49.9","70"
"200509080600","HU","37.9","49","65"
"200509081200","HU","38.7","48","65"
"200509081800","HU","39.1","47.2","65"
"200509090000","TS","39.4","46.4","60"
"200509090600","TS","39.8","44.9","55"
"200509091200","TS","40.4","43.4","55"
"200509091800","TS","41.1","42.1","50"
"200509100000","TS","41.9","40.6","50"
"200509100600","TS","42.9","39.2","50"
"200509101200","EX","44.5","37.7","50"
"200509101800","EX","46","36.3","55"
"200509110000","EX","48","35","60"
"200509110600","EX","50","34","60"
"200509111200","EX","52","32.9","65"
"200509111800","EX","54","32","65"
"200509120000","EX","55.5","31","65"
"200509120600","EX","57","29","65"
"200509121200","EX","58.5","26","65"
"200509121800","EX","61","23","60"
"200509130000","EX","62","21","55"
"200509130600","EX","62.9","19","50"
"200509131200","EX","63.5","16","45"
"200509131800","EX","63","10","45"
"200509140000","EX","63","0","45"
