"date","status","latitude","longitude","wind"
"200509051800","TD","28.4","67","30"
"200509060000","TS","28.4","66.6","35"
"200509060600","TS","28.5","66.5","40"
"200509061200","TS","28.5","66.5","50"
"200509061800","TS","28.6","66.4","50"
"200509070000","TS","28.7","66.3","55"
"200509070600","TS","28.7","66.3","60"
"200509071200","HU","28.9","66.2","65"
"200509071800","HU","29.3","66","70"
"200509080000","HU","29.6","65.7","75"
"200509080600","HU","30","65","75"
"200509081200","HU","30.5","63.8","75"
"200509081800","HU","31.4","62.7","75"
"200509090000","HU","32.6","61.1","80"
"200509090600","HU","33.4","59.1","70"
"200509091200","HU","34","55.8","65"
"200509091800","TS","34.5","53.4","55"
"200509100000","TS","34.7","50.8","55"
"200509100600","TS","34.6","49","45"
"200509101200","TS","34.5","45.9","45"
"200509101800","EX","34.9","44.1","45"
"200509110000","EX","35.2","42.1","40"
"200509110600","EX","36","40.6","40"
"200509111200","EX","37.4","38.3","40"
"200509111800","EX","39.2","35.6","40"
"200509120000","EX","41.6","33.3","40"
"200509120600","EX","43.5","32","35"
"200509121200","EX","44","28.1","35"
"200509121800","EX","46","25","35"
