"date","status","latitude","longitude","wind"
"200509060600","TD","25.8","78.6","25"
"200509061200","TD","26.3","78.3","25"
"200509061600","TD","26.6","78.3","25"
"200509061800","TD","26.8","78.3","25"
"200509070000","TD","27.4","78.5","30"
"200509070600","TS","27.9","78.8","35"
"200509071200","TS","28.7","79.2","40"
"200509071800","TS","28.8","79.3","45"
"200509080000","TS","28.8","79.3","45"
"200509080600","TS","28.7","79.6","50"
"200509081200","TS","28.6","79.6","55"
"200509081800","TS","28.6","79.5","60"
"200509090000","HU","28.6","79.3","65"
"200509090600","TS","28.9","79.3","55"
"200509091200","TS","29.3","79.1","55"
"200509091800","HU","29.8","78.5","65"
"200509100000","TS","30.2","77.5","60"
"200509100600","TS","30.9","76.9","60"
"200509101200","HU","31.5","76.6","65"
"200509101800","HU","31.7","76.2","70"
"200509110000","HU","31.8","75.9","70"
"200509110600","HU","31.7","75.9","75"
"200509111200","HU","31.6","75.7","70"
"200509111800","HU","31.4","75.9","65"
"200509120000","TS","31.2","76.2","60"
"200509120600","TS","31.2","76.6","60"
"200509121200","TS","31.5","76.9","55"
"200509121800","TS","31.7","77.3","60"
"200509130000","TS","31.8","77.7","60"
"200509130600","TS","31.9","77.9","60"
"200509131200","TS","32.1","78","60"
"200509131800","TS","32.3","78.1","60"
"200509140000","HU","32.6","78.1","65"
"200509140600","HU","32.9","78","70"
"200509141200","HU","33.4","77.7","75"
"200509141800","HU","33.9","77.5","75"
"200509150000","HU","34.2","76.9","75"
"200509150600","HU","34.5","76.3","70"
"200509151200","HU","34.7","75.8","65"
"200509151800","HU","34.7","75.6","65"
"200509160000","TS","34.6","75.1","60"
"200509160600","TS","34.7","74.8","55"
"200509161200","TS","35.4","74.4","50"
"200509161800","TS","36.4","73.6","55"
"200509170000","TS","37.3","72.7","55"
"200509170600","TS","38.7","71.4","50"
"200509171200","TS","40","69.7","50"
"200509171800","TS","41.6","67.3","50"
"200509180000","EX","43.2","64.9","45"
"200509180600","EX","44.8","62.6","45"
"200509181200","EX","46.2","59.9","45"
"200509181800","EX","47.4","56.2","45"
"200509190000","EX","48.4","52.3","45"
"200509190600","EX","49","48.8","45"
"200509191200","EX","49.5","45.7","45"
"200509191800","EX","50","42.1","45"
"200509200000","EX","50.9","38.5","45"
"200509200600","EX","51.5","34.7","40"
"200509201200","EX","52.2","30.5","40"
"200509201800","EX","52.8","26.5","40"
"200509210000","EX","53.8","22","40"
"200509210600","EX","55.3","17.7","35"
"200509211200","EX","57.6","14.6","35"
"200509211800","EX","59.8","11.9","35"
"200509220000","EX","61.7","8.4","35"
"200509220600","EX","63.6","4.5","35"
"200509221200","EX","65.6","1","35"
"200509221800","EX","67.5","1.9","30"
"200509230000","EX","68.8","6.6","30"
