"date","status","latitude","longitude","wind"
"200509171200","TD","13.3","54.5","30"
"200509171800","TS","13.5","54.9","35"
"200509180000","TS","13.9","55.1","40"
"200509180600","TS","14.4","55.3","45"
"200509181200","TS","14.9","55.5","50"
"200509181800","TS","15.6","55.7","55"
"200509190000","HU","16.2","55.8","65"
"200509190600","HU","16.7","55.9","65"
"200509191200","HU","17.2","56.2","65"
"200509191800","HU","17.5","56.4","65"
"200509200000","HU","17.7","56.6","70"
"200509200600","HU","17.9","56.8","65"
"200509201200","TS","18.1","57","60"
"200509201800","TS","18.5","57.2","55"
"200509210000","TS","18.9","57.2","55"
"200509210600","TS","19.4","57.1","50"
"200509211200","TS","19.9","57","45"
"200509211800","TS","20.8","56.9","40"
"200509220000","TS","22.4","56.7","35"
"200509220600","TS","23.8","56.8","35"
"200509221200","TS","25.2","57.2","35"
"200509221800","TS","26.7","57.6","35"
"200509230000","TS","28.3","58.2","35"
"200509230600","TS","30.2","60.1","35"
"200509231200","TD","30.5","62.2","30"
"200509231800","LO","30.2","63.7","30"
"200509240000","LO","29.2","63.8","30"
"200509240600","LO","28.6","62.8","25"
