"date","status","latitude","longitude","wind"
"200509180000","TD","21.3","69.9","25"
"200509180600","TD","21.6","70.7","25"
"200509181200","TD","21.9","71.5","30"
"200509181800","TS","22.2","72.3","35"
"200509190000","TS","22.4","73","45"
"200509190600","TS","22.6","73.8","50"
"200509191200","TS","22.8","74.7","55"
"200509191800","TS","23.1","75.9","60"
"200509200000","TS","23.3","77.2","60"
"200509200600","TS","23.5","78.8","60"
"200509201200","HU","23.7","80.3","70"
"200509201800","HU","23.9","81.6","85"
"200509210000","HU","24.1","82.7","95"
"200509210600","HU","24.2","84","110"
"200509211200","HU","24.2","85.2","120"
"200509211800","HU","24.3","86.2","145"
"200509220000","HU","24.5","86.9","150"
"200509220300","HU","24.7","87.3","155"
"200509220600","HU","24.8","87.6","155"
"200509221200","HU","25.2","88.3","140"
"200509221800","HU","25.6","89.1","125"
"200509230000","HU","26","89.9","120"
"200509230600","HU","26.5","90.7","115"
"200509231200","HU","27.1","91.5","115"
"200509231800","HU","27.8","92.3","110"
"200509240000","HU","28.6","93","105"
"200509240600","HU","29.4","93.6","100"
"200509240740","HU","29.7","93.7","100"
"200509241200","HU","30.5","94.1","65"
"200509241800","TS","31.6","94.1","45"
"200509250000","TS","32.7","94","35"
"200509250600","TD","33.7","93.6","30"
"200509251200","TD","34.7","92.5","25"
"200509251800","TD","35.8","91.4","25"
"200509260000","TD","37","90.1","20"
"200509260600","LO","39.5","88","20"
