"date","status","latitude","longitude","wind"
"200510011200","TD","18.9","85.6","25"
"200510011800","TD","19.1","86.2","30"
"200510020000","TD","19.3","86.7","30"
"200510020600","TS","19.5","87.2","40"
"200510021000","TS","19.6","87.5","35"
"200510021200","TS","19.8","87.9","35"
"200510021800","TS","20.3","88.8","35"
"200510030000","TD","20.5","89.8","30"
"200510030600","TS","20.5","91","35"
"200510031200","TS","20.3","91.7","40"
"200510031800","TS","20.1","92.2","50"
"200510040000","TS","19.8","93.2","55"
"200510040600","HU","19.2","94.1","65"
"200510041200","HU","18.6","94.9","70"
"200510041800","TS","17.9","95.6","45"
"200510050000","TD","17.2","96.4","30"
"200510050600","TD","16.9","97","25"
