"date","status","latitude","longitude","wind"
"200508131200","TD","13.3","43.6","25"
"200508131800","TD","13.8","44.7","30"
"200508140000","TD","13.8","45.7","30"
"200508140600","TD","13.4","46","25"
"200508141200","TD","13.5","46.4","25"
"200508141800","LO","13.9","46.7","25"
"200508150000","LO","14.4","47.4","25"
"200508150600","LO","14.5","48.4","25"
"200508151200","LO","14.6","49.3","25"
"200508151800","LO","14.8","49.9","25"
"200508160000","LO","15.1","50.4","25"
"200508160600","LO","15.5","51.1","25"
"200508161200","LO","16","52","25"
"200508161800","LO","16.1","53.2","25"
"200508170000","LO","16.1","54.1","25"
"200508170600","LO","16.1","54.9","25"
"200508171200","LO","16.7","55.6","25"
"200508171800","LO","17.1","56.6","25"
"200508180000","LO","17.3","57.7","25"
"200508180600","LO","17.6","58.9","25"
"200508181200","LO","18","60.1","25"
