"date","status","latitude","longitude","wind"
"200510080600","SD","26.1","57.4","30"
"200510081200","SD","27.7","58.5","30"
"200510081800","SD","28.8","60.1","30"
"200510090000","SD","29.3","62","25"
"200510090600","SD","29.3","63.3","25"
"200510091200","SD","29.5","64.5","25"
"200510091800","SD","30","65.2","25"
"200510100000","SD","30.7","66","25"
"200510100600","LO","31.6","67.5","25"
"200510101200","LO","32.5","68.9","30"
"200510101800","LO","33.5","70","30"
"200510110000","LO","34.3","71","30"
"200510110600","LO","35.5","71.7","30"
"200510111200","EX","36.7","71.8","30"
"200510111800","EX","37.8","71.7","30"
"200510120000","EX","38.5","71.9","30"
"200510120600","EX","38.8","72.4","30"
"200510121200","EX","38.9","73","35"
"200510121800","EX","38.7","73.5","40"
"200510130000","EX","38.3","73.5","40"
"200510130600","EX","37.7","73.5","40"
"200510131200","EX","37.2","73","40"
"200510131800","EX","37.8","73","40"
"200510140000","EX","38","73.4","40"
"200510140600","EX","37.6","73.8","40"
"200510141200","EX","38.6","73.8","35"
"200510141800","EX","39.6","73.8","30"
