"date","status","latitude","longitude","wind"
"200510080600","SS","32.9","20.6","40"
"200510081200","SS","33","20.3","45"
"200510081800","SS","33.1","20.1","45"
"200510090000","SS","33.2","20","45"
"200510090600","SS","33.4","19.6","50"
"200510091200","TS","33.8","19.3","55"
"200510091800","HU","34.1","18.9","65"
"200510100000","TS","34.3","18.3","60"
"200510100600","TS","34.5","17.2","50"
"200510101200","TS","34.7","15.3","45"
"200510101800","TS","35.4","12.8","35"
"200510110000","TD","36.1","10.5","30"
"200510110600","TD","36.7","8.3","30"
"200510110900","TD","37.2","7.1","30"
"200510111200","TD","37.7","6","30"
