"date","status","latitude","longitude","wind"
"200510151800","TD","17.6","78.5","25"
"200510160000","TD","17.6","78.8","25"
"200510160600","TD","17.5","79","30"
"200510161200","TD","17.5","79.2","30"
"200510161800","TD","17.5","79.4","30"
"200510170000","TD","17.4","79.6","30"
"200510170600","TS","16.9","79.6","35"
"200510171200","TS","16.3","79.7","40"
"200510171800","TS","16","79.8","45"
"200510180000","TS","15.8","79.9","55"
"200510180600","TS","15.7","79.9","60"
"200510181200","HU","16.2","80.3","65"
"200510181800","HU","16.6","81.1","75"
"200510190000","HU","16.6","81.8","130"
"200510190600","HU","17","82.2","150"
"200510191200","HU","17.3","82.8","160"
"200510191800","HU","17.4","83.4","140"
"200510200000","HU","17.9","84","135"
"200510200600","HU","18.1","84.7","130"
"200510201200","HU","18.3","85.2","130"
"200510201800","HU","18.6","85.5","130"
"200510210000","HU","19.1","85.8","130"
"200510210600","HU","19.5","86.1","130"
"200510211200","HU","20.1","86.4","125"
"200510211800","HU","20.3","86.7","120"
"200510212145","HU","20.6","86.8","130"
"200510220000","HU","20.6","86.8","120"
"200510220330","HU","20.8","86.9","115"
"200510220600","HU","20.8","87","110"
"200510221200","HU","21","87.1","100"
"200510221800","HU","21.3","87.1","85"
"200510230000","HU","21.6","87","85"
"200510230600","HU","21.8","86.8","85"
"200510231200","HU","22.4","86.1","85"
"200510231800","HU","23.1","85.4","90"
"200510240000","HU","24","84.3","95"
"200510240600","HU","25","83.1","110"
"200510241030","HU","25.9","81.7","105"
"200510241200","HU","26.2","81","95"
"200510241800","HU","28","78.8","105"
"200510250000","HU","30.1","76","110"
"200510250600","HU","33.3","72","100"
"200510251200","HU","36.8","67.9","90"
"200510251800","HU","40.5","63.5","75"
"200510260000","EX","42.5","60","60"
"200510260600","EX","44","57.5","55"
"200510261200","EX","45","55","50"
"200510261800","EX","45.5","52","40"
