"date","status","latitude","longitude","wind"
"200512300000","TD","23.9","35.6","30"
"200512300600","TS","24.2","36.1","40"
"200512301200","TS","24.7","36.6","45"
"200512301800","TS","25.2","37","45"
"200512310000","TS","25.6","37.3","45"
"200512310600","TS","25.7","37.6","50"
"200512311200","TS","25.7","37.9","50"
"200512311800","TS","25.7","38.1","45"
"200601010000","TS","25.6","38.3","50"
"200601010600","TS","25.4","38.4","50"
"200601011200","TS","25.2","38.5","50"
"200601011800","TS","25","38.6","55"
"200601020000","TS","24.6","38.9","55"
"200601020600","TS","24.3","39.7","50"
"200601021200","TS","23.8","40.4","45"
"200601021800","TS","23.6","40.8","50"
"200601030000","TS","23.4","41","55"
"200601030600","TS","23.3","41.3","55"
"200601031200","TS","23.2","41.6","55"
"200601031800","TS","23","42.1","55"
"200601040000","TS","22.6","42.4","55"
"200601040600","TS","22.1","42.9","50"
"200601041200","TS","21.9","43.6","45"
"200601041800","TS","21.7","44.6","40"
"200601050000","TS","21.7","45.6","35"
"200601050600","TS","21.9","46.6","35"
"200601051200","TS","22.2","47.3","35"
"200601051800","TS","22.7","47.9","35"
"200601060000","TS","23","48.4","35"
"200601060600","TD","23.1","49","30"
"200601061200","TD","23.1","49.6","30"
"200601061800","LO","23.3","50.2","25"
"200601070000","LO","23.7","51.4","25"
"200601070600","LO","24.2","52.7","25"
"200601071200","LO","24.8","54.2","25"
"200601071800","LO","26.3","55.7","25"
